,Body_Dimensions,Body_SIM,Body_Weight,Display_Resolution,Display_Size,Display_Type,Launch_Announced,Memory_Card slot,Memory_Internal,Name,Network_Technology,Platform_CPU,Platform_OS,Battery_Type,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Features_Sensors,Main Camera_Dual,Main Camera_Features,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Misc_Price,Selfie camera_Features,Selfie camera_Single,Selfie camera_Video,Sound_3.5mm jack,Sound_Loudspeaker,Selfie camera_Dual,Selfie camera_Triple,Main Camera_Quad,Main Camera_Dual or Triple,Main Camera_Penta,Main Camera_Five,Device_label,Brand
10,104.9 x 52.8 x 18.7 mm (4.13 x 2.08 x 0.74 in),Nano-SIM,118 g (4.16 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~43.8% screen-to-body ratio)",TN TFT LCD,"2019, July 11",microSDHC (dedicated slot),8GB 1GB RAM,alcatel Go Flip V,GSM / HSPA / LTE,Quad-core 1.1 GHz Cortex-A7,KaiOS 2.5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
11,243.3 x 161.2 x 9.4 mm (9.58 x 6.35 x 0.37 in),Nano-SIM,475 g (1.05 lb),"800 x 1280 pixels, 16:10 ratio (~149 ppi density)","10.1 inches, 295.8 cm2 (~75.4% screen-to-body ratio)",IPS LCD,"2020, Q4",microSDXC (dedicated slot),32GB 2GB RAM,alcatel 3T10 2020,GSM / HSPA / LTE,Quad-core 1.8 GHz,Android 10,,,,,,,,,,,,,,,,,,,,,,,,,,,tablet,alcatel
12,165 x 75 x 9.1 mm (6.50 x 2.95 x 0.36 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",186 g (6.56 oz),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","6.52 inches, 102.6 cm2 (~82.9% screen-to-body ratio)",IPS LCD,"2020, June",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",alcatel 3X (2020),GSM / HSPA / LTE,Octa-core 2.0 GHz Cortex-A53,Android 10,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
13,158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",165 g (5.82 oz),"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)",IPS LCD,"2020, January",microSDXC (uses shared SIM slot),64GB 4GB RAM,alcatel 3L (2020),GSM / HSPA / LTE,Octa-core 2.0 GHz Cortex-A53,Android 10,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
14,158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",165 g (5.82 oz),"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","6.22 inches, 96.6 cm2 (~81.6% screen-to-body ratio)",IPS LCD,"2020, January",microSDXC (uses shared SIM slot),32GB 3GB RAM,alcatel 1S (2020),GSM / HSPA / LTE,Octa-core 1.8 GHz Cortex-A53,Android 10,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
15,158.7 x 74.8 x 8.9 mm (6.25 x 2.94 x 0.35 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",160 g (5.64 oz),"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","6.22 inches, 96.6 cm2 (~81.3% screen-to-body ratio)",IPS LCD,"2020, January",microSDXC (uses shared SIM slot),32GB 2GB RAM,alcatel 1V (2020),GSM / HSPA / LTE,Octa-core 1.8 GHz Cortex-A53,Android 10,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
16,146.1 x 71.6 x 9.9 mm (5.75 x 2.82 x 0.39 in),"Dual SIM (Nano-SIM, dual stand-by)",168 g (5.93 oz),"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm2 (~74.6% screen-to-body ratio)",IPS LCD,"2020, January",microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM",alcatel 1B (2020),GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A53,Android 10 (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
17,174.5 x 83.3 x 8.4 mm (6.87 x 3.28 x 0.33 in),Nano-SIM,197.9 g (6.98 oz),"720 x 1440 pixels, 18:9 ratio (~240 ppi density)","6.7 inches, 115.8 cm2 (~79.7% screen-to-body ratio)",IPS LCD,"2019, Q2",microSDXC (dedicated slot),32GB 3GB RAM,alcatel 3v (2019),GSM / HSPA / LTE,Octa-core 2.0 GHz Cortex-A53,Android 9.0 (Pie),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
18,164.9 x 75.8 x 8.4 mm (6.49 x 2.98 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",178 g (6.28 oz),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","6.52 inches, 102.6 cm2 (~82.1% screen-to-body ratio)",IPS LCD,"2019, September",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM",alcatel 3x (2019),GSM / HSPA / LTE,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Android 9.0 (Pie),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
19,149.1 x 72.2 x 8.9 mm (5.87 x 2.84 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",153.2 g (5.40 oz),"480 x 960 pixels, 18:9 ratio (~195 ppi density)","5.5 inches, 78.1 cm2 (~72.5% screen-to-body ratio)",IPS LCD,"2019, September",microSDXC,"16GB 1GB RAM, 16GB 2GB RAM, 16GB 3GB RAM",alcatel 1v (2019),GSM / HSPA / LTE,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),Android 9.0 Pie (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
20,209.5 x 125 x 8.3 mm (8.25 x 4.92 x 0.33 in),Micro-SIM,279 g (9.84 oz),"800 x 1280 pixels, 16:10 ratio (~189 ppi density)","8.0 inches, 185.6 cm2 (~70.9% screen-to-body ratio)",IPS LCD,"2018, October 08",microSDXC (dedicated slot),"16GB 1GB RAM, 32GB 2GB RAM, 32GB 3GB RAM",alcatel 3T 8,LTE,Quad-core 1.28 GHz,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,tablet,alcatel
21,176 x 126 x 12 mm (6.93 x 4.96 x 0.47 in),No,268 g (9.45 oz),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","7.0 inches, 137.9 cm2 (~62.2% screen-to-body ratio)",TN TFT LCD,"2019, September",microSDXC (dedicated slot),16GB 1.5GB RAM,alcatel Smart Tab 7,No cellular connectivity,Quad-core 1.3 GHz Cortex-A53,Android 9.0 (Pie),,,,,,,,,,,,,,,,,,,,,,,,,,,tablet,alcatel
22,260 x 156.6 x 9 mm (10.24 x 6.17 x 0.35 in),Nano-SIM,440 g (15.52 oz),"800 x 1280 pixels, 16:10 ratio (~151 ppi density)","10.0 inches, 290.0 cm2 (~71.2% screen-to-body ratio)",IPS LCD,"2019, February",microSDXC (dedicated slot),16GB 2GB RAM,alcatel 3T 10,GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A53,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",,,,,,,,,,,,,,,,,,,,,,,,,,,tablet,alcatel
23,151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",145 g (5.11 oz),"720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)","5.94 inches, 86.6 cm2 (~82.2% screen-to-body ratio)",IPS LCD,"2019, February",microSDXC (uses shared SIM slot),16GB 2GB RAM,alcatel 3L,GSM / HSPA / LTE,Quad-core 1.5 GHz Cortex-A53 - EuropeQuad-core 1.8 GHz Cortex-A53,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
24,151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",145 g (5.11 oz),"720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)","5.94 inches, 86.6 cm2 (~82.2% screen-to-body ratio)",IPS LCD,"2019, February",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM",alcatel 3 (2019),GSM / HSPA / LTE,Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
25,147.8 x 70.7 x 8.6 mm (5.82 x 2.78 x 0.34 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",146 g (5.15 oz),"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm2 (~74.7% screen-to-body ratio)",IPS LCD,"2019, February",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM",alcatel 1s,GSM / HSPA / LTE,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),Android 9.0 (Pie),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
26,146.4 x 68.8 x 8.3 mm (5.76 x 2.71 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",130 g (4.59 oz),"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm2 (~77.5% screen-to-body ratio)",IPS LCD,"2019, January",microSDXC,16GB 2GB RAM,alcatel 1x (2019),GSM / HSPA / LTE,Quad-core 1.5 GHz Cortex-A53,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
27,136.6 x 65.3 x 10 mm (5.38 x 2.57 x 0.39 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",148 g (5.22 oz),"480 x 960 pixels, 18:9 ratio (~215 ppi density)","5.0 inches, 64.5 cm2 (~72.3% screen-to-body ratio)",IPS LCD,"2019, January",microSDHC,8GB 1GB RAM,alcatel 1c (2019),GSM / HSPA,Quad-core 1.3 GHz Cortex-A53,Android 8.1 Oreo (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
28,137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",134 g (4.73 oz),"480 x 960 pixels, 18:9 ratio (~215 ppi density)","5.0 inches, 64.5 cm2 (~71.4% screen-to-body ratio)",TFT LCD,"2018, July",microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",alcatel 1,GSM / HSPA / LTE,Quad-core 1.28 GHz Cortex-A53,Android 8.1 Oreo (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
29,142.5 x 71.9 x 9.4 mm (5.61 x 2.83 x 0.37 in),Nano-SIM,150 g (5.29 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)","5.0 inches, 68.9 cm2 (~67.2% screen-to-body ratio)",IPS LCD,"2018, September",microSDXC (dedicated slot),16GB 2GB RAM,alcatel Tetra,GSM / HSPA / LTE,Quad-core 1.1 GHz Cortex-A53,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
30,162.1 x 75 x 8.6 mm (6.38 x 2.95 x 0.34 in),Nano-SIM,175 g (6.17 oz),"1080 x 2180 pixels, 18:9 ratio (~402 ppi density)","6.0 inches, 93.8 cm2 (~77.1% screen-to-body ratio)",IPS LCD,"2018, August",microSDXC (dedicated slot),32GB 2GB RAM,alcatel 7,GSM / HSPA / LTE,Octa-core 2.5 GHz Cortex-A53,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
31,153.7 x 74.5 x 8.5 mm (6.05 x 2.93 x 0.33 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",158 g (5.57 oz),720 x 1500 pixels (~268 ppi density),"6.2 inches, 96.7 cm2 (~84.5% screen-to-body ratio)",IPS LCD,"2018, July",microSDXC,32GB 3GB RAM,alcatel 5v,GSM / HSPA / LTE,Octa-core 2.0 GHz Cortex-A53,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
32,152.3 x 71.1 x 8.4 mm (6.00 x 2.80 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",144 g (5.08 oz),"720 x 1440 pixels, 18:9 ratio (~282 ppi density)","5.7 inches, 83.8 cm2 (~77.4% screen-to-body ratio)",IPS LCD,"2018, February",microSDXC,"16GB 2GB RAM, 32GB 3GB RAM",alcatel 5,GSM / HSPA / LTE,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Android 7.1 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
33,162 x 76 x 8.1 mm (6.38 x 2.99 x 0.32 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",155 g (5.47 oz),"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","6.0 inches, 92.9 cm2 (~75.5% screen-to-body ratio)",IPS LCD,"2018, February",microSDXC,"16GB 2GB RAM, 32GB 2GB RAM",alcatel 3v,GSM / HSPA / LTE,Quad-core 1.45 GHz Cortex-A53,Android 8.0 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
34,153.5 x 71.6 x 8.5 mm (6.04 x 2.82 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",144 g (5.08 oz),"720 x 1440 pixels, 18:9 ratio (~282 ppi density)","5.7 inches, 83.8 cm2 (~76.3% screen-to-body ratio)",IPS LCD,"2018, February",microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM",alcatel 3x (2018),GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A53,Android 7.1 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
35,147.1 x 68.8 x 8.5 mm (5.79 x 2.71 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",145 g (5.11 oz),"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm2 (~77.1% screen-to-body ratio)",IPS LCD,"2018, February",microSDXC,16GB 2GB RAM,alcatel 3,GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A53,Android 8.0 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
36,147.5 x 70.6 x 9.1 mm (5.81 x 2.78 x 0.36 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",151 g (5.33 oz),"480 x 960 pixels, 18:9 ratio (~203 ppi density)","5.3 inches, 72.5 cm2 (~69.6% screen-to-body ratio)",IPS LCD,"2018, February",microSDHC,"16GB 1GB RAM, 16GB 2GB RAM",alcatel 1x,GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A53,"Android 8.1 (Oreo) - 5059D only, Android 8.1 Oreo (Go edition) - all other models",,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
37,161 x 76 x 7.9 mm (6.34 x 2.99 x 0.31 in),Dual SIM (dual stand-by),169 g (5.96 oz),"720 x 1440 pixels, 18:9 ratio (~268 ppi density)","6.0 inches, 92.9 cm2 (~75.9% screen-to-body ratio)",IPS LCD,"2018, January",microSDXC,16GB 1GB RAM,alcatel 3c,GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A7,Android 7.1 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
38,125.2 x 50.5 x 12.8 mm (4.93 x 1.99 x 0.50 in),Nano-SIM,90 g (3.17 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm2 (~28.2% screen-to-body ratio)","TFT LCD, 256K colors",2019,No,4GB 512MB,alcatel 3088,GSM / HSPA / LTE,Dual-core (2x1.3 GHz Cortex-A7),KaiOS 2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
39,255 x 155 x 9.4 mm (10.04 x 6.10 x 0.37 in),No,415 g (14.64 oz),"1280 x 800 pixels, 16:10 ratio (~149 ppi density)","10.1 inches, 295.8 cm2 (~74.8% screen-to-body ratio)",TFT,"2018, February",microSDXC (dedicated slot),16GB 1GB RAM,alcatel 1T 10,No cellular connectivity,Quad-core 1.3 GHz Cortex-A7,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,tablet,alcatel
40,189.5 x 111 x 9.2 mm (7.46 x 4.37 x 0.36 in),No,245 g (8.64 oz),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","7.0 inches, 137.9 cm2 (~65.6% screen-to-body ratio)",TFT,"2018, February",microSDXC (dedicated slot),8GB 1GB RAM,alcatel 1T 7,No cellular connectivity,Quad-core 1.3 GHz Cortex-A7,Android 8.1 (Oreo),,,,,,,,,,,,,,,,,,,,,,,,,,,tablet,alcatel
41,148.6 x 72 x 7.5 mm (5.85 x 2.83 x 0.30 in),Nano-SIM,147 g (5.19 oz),"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","5.2 inches, 74.5 cm2 (~69.7% screen-to-body ratio)",IPS LCD,"2017, September",microSDXC (dedicated slot),32GB 3GB RAM,alcatel Idol 5s,GSM / HSPA / LTE,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.65 GHz Cortex-A53),Android 7.1 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
42,148 x 73 x 7.5 mm (5.83 x 2.87 x 0.30 in),Nano-SIM,155 g (5.47 oz),"1080 x 1920 pixels, 16:9 ratio (~423 ppi density)","5.2 inches, 74.9 cm2 (~69.3% screen-to-body ratio)",IPS LCD,"2017, September",microSDXC (dedicated slot),16GB 3GB RAM,alcatel Idol 5,GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A53,Android 7.1 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
43,159.6 x 81.5 x 8.7 mm (6.28 x 3.21 x 0.34 in),Single SIM or Dual SIM,175 g (6.17 oz),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","6.0 inches, 99.2 cm2 (~76.3% screen-to-body ratio)",IPS LCD,"2017, September",microSDHC,32GB 3GB RAM,alcatel A7 XL,GSM / HSPA / LTE,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Android 7.1 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
44,152.7 x 76.5 x 9 mm (6.01 x 3.01 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",164 (5.78 oz),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)",IPS LCD,"2017, September",microSDXC,32GB 3GB RAM,alcatel A7,GSM / HSPA / LTE,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Android 7.0 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
45,141.8 x 71.4 x 9 mm (5.58 x 2.81 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",129 g (4.55 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)",IPS LCD,"2017, August",microSDXC,8GB 1GB RAM,alcatel U5 HD,GSM / HSPA / LTE,Quad-core 1.1 GHz Cortex-A53,Android 7.0 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
46,146.1 x 71.9 x 7.9 mm (5.75 x 2.83 x 0.31 in),Nano-SIM,145.7 (5.15 oz),"720 x 1280 pixels, 16:9 ratio (~282 ppi density)","5.2 inches, 74.5 cm2 (~71.0% screen-to-body ratio)",IPS LCD,"2017, August",microSDXC (dedicated slot),16GB 2GB RAM,alcatel Pulsemix,GSM / HSPA / LTE,Quad-core 1.5 GHz Cortex-A53,Android 7.0 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
47,148.6 x 70.9 x 7.4 mm (5.85 x 2.79 x 0.29 in),Nano-SIM,148.8 g (5.26 oz),"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","5.2 inches, 74.5 cm2 (~70.8% screen-to-body ratio)",IPS LCD,"2017, June",microSDXC (dedicated slot),32GB 3GB RAM,alcatel Idol 5s (USA),GSM / HSPA / LTE,Octa-core 2.0 GHz Cortex-A53,Android 7.1 (Nougat),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
